"","OBJECTID","CMM","CM","TYPE_","NIVEAU","GISEMENT","TRANCHE","ZONE_","RAPPORT_MIN","MINR_PASSANT","X","Y","Z","PT","PP","BPL_B","RP","CO2_B","CAO_B","SIO2_B","FE2O3_B","AL2O3_B","F_B","CORG_B","NA2O_B","K2O_B","MGO_B","CD_B","U_B","AS_B","V_B","ZN_B","TI_B","TR_B","SR_B","CL_B","Mo_B","Cr_B","SIO2_L","MGO_L","CD_L","CO2_L","SO3_B","AS_L","CL_L","SIO2R_B","Th_B","ORDRE","OBS"
"17",17,"CMM7","CM703","GEOCHIMIE","Niveau 3","G1","T1","","0","0","292263,4876","195937,1979","483,033419","1,071122536","1,028277635","61,8251928","66,76092545","3,461868038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11,99657241","0"
"18",18,"CMM3","CM705","GEOCHIMIE","Niveau 3","G1","T2","","0","0","295684,5844","196491,1825","512,9562982","1,970865467","1,75664096","53,72750643","76,3496144","5,081405313","45,58697515","7,592116538","0,377035133","0,402742074","3,170522708","0","0","0","0,402742074","7,712082262","94,2587832","6,855184233","115,6812339","203,0848329","0","0","806,3410454","0","0","0","0","0,30848329","0","0","0","0","0","0","0","11,99657241","0"
"19",19,"CMM8","CM940","GEOCHIMIE","Niveau 3","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","0,642673522","0,642673522","59,98286204","78,38046272","3,598971722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,471293916","0","0","0","0","0","0","0","11,99657241","0"
"22",22,"CMM6","CM944","GEOCHIMIE","Niveau 3","G1","T3","","0","0","275408,012","196147,3693","470,9511568","0,29991431","0,29991431","56,64952871","60,83119109","3,898886033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,428449015","0","0","0","0","0","0","0","11,99657241","0"
"23",23,"CMM1","CM698","GEOCHIMIE","Niveau 4","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,642673522","0,642673522","37,25792631","55,22707798","4,824335904","25,38131962","27,24935733","0,162810626","0,556983719","2,167952014","0","0","0","0,968294773","10,28277635","38,56041131","6,855184233","104,5415596","170,5227078","0","0","628,9631534","0","0","0","0","0,428449015","0","0","0","0","0","0","0","12,85347044","0"
"25",25,"CMM7","CM703","GEOCHIMIE","Niveau 4","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,814053128","0,814053128","53,53898886","61,43101971","4,310197087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12,85347044","0"
"27",27,"CMM4","CM939","GEOCHIMIE","Niveau 4","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","0,942587832","0,942587832","47,02656384","59,88003428","5,655526992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,334190231","0","0","0","0","0","0","0","12,85347044","0"
"28",28,"CMM9","CM941","GEOCHIMIE","Niveau 4","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","0,942587832","0,942587832","45,35561268","59,46872322","5,449871465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,359897172","0","0","0","0","0","0","0","12,85347044","0"
"29",29,"CMM5","CM942","GEOCHIMIE","Niveau 4","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","0,59982862","0,59982862","49,40017138","76,64952871","5,912596401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,088260497","0","0","0","0","0","0","0","12,85347044","0"
"30",30,"CMM6","CM944","GEOCHIMIE","Niveau 4","G1","T3","","0","0","275408,012","196147,3693","470,9511568","0,556983719","0,556983719","48,00342759","59,12596401","6,598114824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,394173093","0","0","0","0","0","0","0","12,85347044","0"
"33",33,"CMM7","CM703","GEOCHIMIE","Niveau 5","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,214224507","0,214224507","51,11396744","69,81148243","3,384747215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,28277635","0"
"35",35,"CMM4","CM939","GEOCHIMIE","Niveau 5","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","0,814053128","0,814053128","28,92887746","40,73693231","18,23479006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,28277635","0"
"36",36,"CMM8","CM940","GEOCHIMIE","Niveau 5","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","0,342759212","0,128534704","33,86461011","59,96572408","14,6958012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,831191088","0","0","0","0","0","0","0","10,28277635","0"
"38",38,"CMM5","CM942","GEOCHIMIE","Niveau 5","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","0,214224507","0,214224507","46,83804627","64,38731791","8,097686375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,936589546","0","0","0","0","0","0","0","10,28277635","0"
"39",39,"CMM6","CM944","GEOCHIMIE","Niveau 5","G1","T3","","0","0","275408,012","196147,3693","470,9511568","0,385604113","0,385604113","35,7840617","46,05826907","12,89631534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,128534704","0","0","0","0","0","0","0","10,28277635","0"
"40",40,"CMM1","CM698","GEOCHIMIE","Niveau 6","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,514138817","0,514138817","43,34190231","63,11053985","12,58783205","36,68380463","4,652956298","0,231362468","0,462724936","2,493573265","0","0","0","0,462724936","11,13967438","82,2622108","7,712082262","143,1019709","216,7952014","0","0","95,97257926","0","0","0","0","0,248500428","0","0","0","0","0","0","0","18,85175664","0"
"41",41,"CMM10","CM699","GEOCHIMIE","Niveau 6","G1","T1","","0","0","275163,162","192403,1705","418,9545844","1,028277635","1,028277635","41,96229649","64,19880034","11,97086547","35,55269923","3,461868038","0,231362468","0,505569837","2,459297344","0","0","0","1,388174807","9,42587832","107,9691517","5,141388175","151,6709512","128,5347044","0","0","1035,989717","0","0","0","0","0,651242502","0","0","0","0","0","0","0","18,85175664","0"
"42",42,"CMM7","CM703","GEOCHIMIE","Niveau 6","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,728363325","0,728363325","47,11225364","61,31105398","10,0428449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18,85175664","0"
"43",43,"CMM3","CM705","GEOCHIMIE","Niveau 6","G1","T2","","0","0","295684,5844","196491,1825","512,9562982","0,428449015","0,428449015","36,14395887","48,41473865","14,6101114","41,67952014","4,575835476","0,334190231","0,659811482","2,210796915","0","0","0","4,173093402","7,712082262","72,83633248","4,284490146","271,6366752","251,9280206","0","0","647,81491","0","0","0","0","2,073693231","0","0","0","0","0","0","0","18,85175664","0"
"44",44,"CMM4","CM939","GEOCHIMIE","Niveau 6","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","0,59982862","0,59982862","40,14567266","62,97343616","9,597257926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,533847472","0","0","0","0","0","0","0","18,85175664","0"
"45",45,"CMM8","CM940","GEOCHIMIE","Niveau 6","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","0,685518423","0,685518423","54,43873179","71,16538132","7,197943445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,411311054","0","0","0","0","0","0","0","18,85175664","0"
"46",46,"CMM9","CM941","GEOCHIMIE","Niveau 6","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","0,985432734","0,985432734","36,90659811","57,48928877","14,39588689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,022279349","0","0","0","0","0","0","0","18,85175664","0"
"47",47,"CMM5","CM942","GEOCHIMIE","Niveau 6","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","1,928020566","1,928020566","36,5638389","60,49700086","14,0017138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,167952014","0","0","0","0","0","0","0","18,85175664","0"
"48",48,"CMM6","CM944","GEOCHIMIE","Niveau 6","G1","T3","","0","0","275408,012","196147,3693","470,9511568","1,071122536","1,071122536","40,71122536","56,89802913","10,11139674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,319622965","0","0","0","0","0","0","0","18,85175664","0"
"49",49,"CMM1","CM698","GEOCHIMIE","Niveau 7","G1","T1","","0","0","262872,4336","196575,5013","476,958012","3,684661525","3,684661525","36,46101114","59,82005141","14,19023136","37,02656384","4,430162811","0,368466153","0,531276778","2,210796915","0","0","0","0,497000857","11,99657241","84,83290488","5,141388175","219,3658955","224,5072836","0","0","880,0342759","0","0","0","0","0,351328192","0","0","0","0","0","0","0","19,70865467","0"
"51",51,"CMM7","CM703","GEOCHIMIE","Niveau 7","G1","T1","","0","0","292263,4876","195937,1979","483,033419","4,198800343","4,198800343","43,82176521","67,33504713","12,00514139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19,70865467","0"
"53",53,"CMM4","CM939","GEOCHIMIE","Niveau 7","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","4,241645244","4,241645244","23,49614396","51,42245073","17,62639246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,467866324","0","0","0","0","0","0","0","19,70865467","0"
"56",56,"CMM5","CM942","GEOCHIMIE","Niveau 7","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","2,999143102","2,999143102","22,75921165","58,52613539","19,04027421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6,872322194","0","0","0","0","0","0","0","19,70865467","0"
"57",57,"CMM6","CM944","GEOCHIMIE","Niveau 7","G1","T3","","0","0","275408,012","196147,3693","470,9511568","3,170522708","3,170522708","34,53299057","59,40874036","14,06169666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,625535561","0","0","0","0","0","0","0","19,70865467","0"
"59",59,"CMM10","CM699","GEOCHIMIE","Niveau 8","G1","T1","","0","0","275163,162","192403,1705","418,9545844","1,071122536","1,071122536","24,63581834","38,36332476","17,18080548","28,260497","8,654670094","0,402742074","0,814053128","1,559554413","0","0","0","6,880891174","1,713796058","63,41045416","4,284490146","65,98114824","84,83290488","0","0","636,6752356","0","0","0","0","4,764353042","0","0","0","0","0","0","0","17,13796058","0"
"60",60,"CMM7","CM703","GEOCHIMIE","Niveau 8","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,685518423","0,685518423","33,479006","46,53813196","16,93230506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,13796058","0"
"62",62,"CMM4","CM939","GEOCHIMIE","Niveau 8","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","1,242502142","1,242502142","26,46958012","36,36675236","17,37789203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7,309340189","0","0","0","0","0","0","0","17,13796058","0"
"63",63,"CMM8","CM940","GEOCHIMIE","Niveau 8","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","1,199657241","1,199657241","33,03341902","47,24078835","14,8243359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,592973436","0","0","0","0","0","0","0","17,13796058","0"
"64",64,"CMM9","CM941","GEOCHIMIE","Niveau 8","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","1,75664096","1,75664096","23,25621251","36,55526992","16,84661525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7,275064267","0","0","0","0","0","0","0","17,13796058","0"
"65",65,"CMM5","CM942","GEOCHIMIE","Niveau 8","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","0,428449015","0,428449015","36,12682091","55,66409597","13,19622965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,873179092","0","0","0","0","0","0","0","17,13796058","0"
"67",67,"CMM11","CM697","GEOCHIMIE","Niveau 9","G1","T1","","0","0","263795,6898","199067,5921","451,0111397","0,814053128","0,814053128","38,16623822","50,4798629","13,10197087","40,21422451","6,75235647","0,359897172","0,87403599","2,176520994","0","0","0","0,334190231","12,85347044","127,6778063","9,42587832","48,84318766","196,2296487","0","0","864,6101114","0","0","0","0","0,197086547","0","0","0","0","0","0","0","32,56212511","0"
"68",68,"CMM12","CM700","GEOCHIMIE","Niveau 9","G1","T1","","0","0","274577,2408","187938,9632","387,1465296","2,956298201","2,956298201","36,05826907","37,82347901","15,32133676","36,28963153","10,62553556","0,788346187","1,679520137","1,996572408","0","0","0","0,796915167","15,42416452","68,55184233","9,42587832","120,8226221","287,9177378","0","0","850,0428449","0","0","0","0","0,29134533","0","0","0","0","0","0","0","32,56212511","0"
"69",69,"CMM13","CM704","GEOCHIMIE","Niveau 9","G1","T1","","0","0","295872,0908","193479,5544","451,8508997","2,399314482","2,399314482","40,82262211","41,18251928","7,275064267","39,88860326","9,597257926","0,976863753","2,090831191","2,544987147","0","0","0","2,604970009","18,85175664","96,82947729","7,712082262","141,3881748","461,8680377","0","0","835,4755784","0","0","0","0","0,771208226","0","0","0","0","0","0","0","32,56212511","0"
"72",72,"CMM9","CM941","GEOCHIMIE","Niveau 9","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","3,641816624","3,641816624","25,84404456","61,87660668","12,14224507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,696658098","0","0","0","0","0","0","0","32,56212511","0"
"73",73,"CMM5","CM942","GEOCHIMIE","Niveau 9","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","5,098543273","5,098543273","33,14481577","47,42073693","9,71722365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,216795201","0","0","0","0","0","0","0","32,56212511","0"
"75",75,"CMM11","CM697","GEOCHIMIE","Niveau 10","G1","T1","","0","0","263795,6898","199067,5921","451,0111397","0,814053128","0,814053128","21,2596401","42,65638389","19,38303342","38,49185947","9,348757498","0,462724936","1,285347044","1,276778063","0","0","0","0,428449015","4,284490146","76,26392459","10,28277635","59,12596401","184,2330763","0","0","718,9374464","0","0","0","0","0,197086547","0","0","0","0","0","0","0","33,41902314","0"
"77",77,"CMM13","CM704","GEOCHIMIE","Niveau 10","G1","T1","","0","0","295872,0908","193479,5544","451,8508997","1,113967438","1,113967438","35,27849186","44,19880034","10,65981148","34,10454156","10,78834619","0,822622108","1,636675236","2,142245073","0","0","0","3,299057412","16,28106255","104,5415596","5,998286204","77,12082262","294,772922","0","0","691,5167095","0","0","0","0","1,996572408","0","0","0","0","0","0","0","33,41902314","0"
"78",78,"CMM4","CM939","GEOCHIMIE","Niveau 10","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","1,242502142","1,242502142","37,34361611","48,01199657","13,07626392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,619537275","0","0","0","0","0","0","0","33,41902314","0"
"79",79,"CMM8","CM940","GEOCHIMIE","Niveau 10","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","1,585261354","1,585261354","33,87317909","62,66495287","11,00257069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,593830334","0","0","0","0","0","0","0","33,41902314","0"
"80",80,"CMM9","CM941","GEOCHIMIE","Niveau 10","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","0,556983719","0,556983719","25,7412168","50,34275921","14,58440446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,319622965","0","0","0","0","0","0","0","33,41902314","0"
"83",83,"CMM11","CM697","GEOCHIMIE","Niveau 11","G1","T1","","0","0","263795,6898","199067,5921","451,0111397","0,685518423","0,685518423","35,73264781","54,37874893","12,75921165","34,57583548","9,622964867","0,719794344","1,062553556","2,005141388","0","0","0","0,402742074","5,141388175","125,1071123","13,71036847","80,54841474","248,5004284","0","0","850,8997429","0","0","0","0","0,239931448","0","0","0","0","0","0","0","34,27592117","0"
"85",85,"CMM13","CM704","GEOCHIMIE","Niveau 11","G1","T1","","0","0","295872,0908","193479,5544","451,8508997","2,099400171","2,099400171","36,46958012","58,90317052","12,18508997","36,30676949","9,074550129","0,342759212","0,848329049","2,287917738","0","0","0","2,810625536","17,13796058","121,6795201","5,141388175","68,55184233","222,7934876","0","0","754,0702656","0","0","0","0","1,645244216","0","0","0","0","0","0","0","34,27592117","0"
"86",86,"CMM4","CM939","GEOCHIMIE","Niveau 11","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","2,999143102","2,999143102","21,61953728","59,17737789","15,68980291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,23050557","0","0","0","0","0","0","0","34,27592117","0"
"88",88,"CMM9","CM941","GEOCHIMIE","Niveau 11","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","1,628106255","1,628106255","31,2596401","54,6529563","12,31362468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,696658098","0","0","0","0","0","0","0","34,27592117","0"
"89",89,"CMM5","CM942","GEOCHIMIE","Niveau 11","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","1,885175664","1,885175664","26,10968295","67,23221937","13,96743787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,204798629","0","0","0","0","0","0","0","34,27592117","0"
"90",90,"CMM6","CM944","GEOCHIMIE","Niveau 11","G1","T3","","0","0","275408,012","196147,3693","470,9511568","1,371036847","1,371036847","28,28620394","61,41388175","13,57326478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,050556984","0","0","0","0","0","0","0","34,27592117","0"
"91",91,"CMM11","CM697","GEOCHIMIE","Niveau 12","G1","T1","","0","0","263795,6898","199067,5921","451,0111397","0,514138817","0,514138817","34,18166238","57,53213368","14,38731791","40,31705227","7,06083976","0,59982862","0,985432734","2,030848329","0","0","0","0,411311054","8,568980291","81,40531277","11,99657241","69,40874036","222,7934876","0","0","850,0428449","0","0","0","0","0,205655527","0","0","0","0","0","0","0","35,98971722","0"
"92",92,"CMM12","CM700","GEOCHIMIE","Niveau 12","G1","T1","","0","0","274577,2408","187938,9632","387,1465296","0,985432734","0,985432734","31,55098543","50,95972579","15,05569837","36,59811482","8,51756641","0,325621251","1,036846615","1,790916881","0","0","0","1,893744644","17,99485861","84,83290488","3,427592117","53,98457584","196,2296487","0","0","794,344473","0","0","0","0","0,994001714","0","0","0","0","0","0","0","35,98971722","0"
"93",93,"CMM13","CM704","GEOCHIMIE","Niveau 12","G1","T1","","0","0","295872,0908","193479,5544","451,8508997","1,885175664","1,885175664","30","52,81062554","12,54498715","31,47386461","10,26563839","0,556983719","1,1739503","1,936589546","0","0","0","4,070265638","14,5672665","97,68637532","5,998286204","137,1036847","258,7832048","0","0","698,3718937","0","0","0","0","3,436161097","0","0","0","0","0","0","0","35,98971722","0"
"94",94,"CMM4","CM939","GEOCHIMIE","Niveau 12","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","0,385604113","0,385604113","31,72236504","66,61525278","14,6958012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,862039417","0","0","0","0","0","0","0","35,98971722","0"
"95",95,"CMM8","CM940","GEOCHIMIE","Niveau 12","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","0,771208226","0,771208226","44,43016281","66,38389032","13,44473008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,281919452","0","0","0","0","0","0","0","35,98971722","0"
"96",96,"CMM9","CM941","GEOCHIMIE","Niveau 12","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","0,59982862","0,59982862","31,51670951","51,39674379","14,13881748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,311053985","0","0","0","0","0","0","0","35,98971722","0"
"97",97,"CMM5","CM942","GEOCHIMIE","Niveau 12","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","0,985432734","0,985432734","37,72922022","70,6940874","9,940017138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,101970865","0","0","0","0","0","0","0","35,98971722","0"
"98",98,"CMM6","CM944","GEOCHIMIE","Niveau 12","G1","T3","","0","0","275408,012","196147,3693","470,9511568","0,556983719","0,556983719","31,79091688","57,80634105","13,68466153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,876606684","0","0","0","0","0","0","0","35,98971722","0"
"99",99,"CMM1","CM698","GEOCHIMIE","Niveau 13","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,985432734","0,985432734","20,68551842","44,7386461","16,83804627","19,74293059","8,937446444","0,805484147","1,868037704","1,242502142","1,285347044","0","0","1,268209083","8,568980291","60,83976007","9,42587832","60,83976007","206,512425","0","0","742,9305913","0","0","0","0","0,608397601","0","0","1,345329906","0","0","0","0","24,85004284","0"
"101",101,"CMM7","CM703","GEOCHIMIE","Niveau 13","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,642673522","0,642673522","47,16366752","63,88174807","8,774635818","0","0","0","0","0","2,287917738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24,85004284","0"
"103",103,"CMM4","CM939","GEOCHIMIE","Niveau 13","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","2,699228792","2,699228792","38,03770351","61,97943445","13,23050557","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24,85004284","0"
"106",106,"CMM5","CM942","GEOCHIMIE","Niveau 13","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","3,213367609","3,041988003","47,62639246","70,73693231","8,560411311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,242502142","0","0","0","0","0","0","0","24,85004284","0"
"107",107,"CMM6","CM944","GEOCHIMIE","Niveau 13","G1","T3","","0","0","275408,012","196147,3693","470,9511568","2,099400171","2,099400171","32,80205656","58,45758355","12,99057412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,011139674","0","0","0","0","0","0","0","24,85004284","0"
"109",109,"CMM12","CM700","GEOCHIMIE","Niveau 14","G1","T1","","0","0","274577,2408","187938,9632","387,1465296","0,685518423","0,685518423","27,64353042","54,93573265","18,07197943","39,07455013","5,698371894","0,402742074","1,388174807","1,053984576","0","0","0","2,604970009","9,42587832","77,12082262","5,141388175","97,68637532","244,2159383","0","0","707,7977721","0","0","0","0","1,696658098","0","0","0","0","0","0","0","25,70694087","0"
"110",110,"CMM4","CM939","GEOCHIMIE","Niveau 14","G1","T3","","0","0","282233,4961","196138,7061","490,1628106","0,899742931","0,899742931","34,12167952","62,48500428","12,63924593","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,645244216","0","0","0","0","0","0","0","25,70694087","0"
