"","OBJECTID","CMM","CM","TYPE_","NIVEAU","GISEMENT","TRANCHE","ZONE_","RAPPORT_MIN","MINR_PASSANT","X","Y","Z","PT","PP","BPL_B","RP","CO2_B","CAO_B","SIO2_B","FE2O3_B","AL2O3_B","F_B","CORG_B","NA2O_B","K2O_B","MGO_B","CD_B","U_B","AS_B","V_B","ZN_B","TI_B","TR_B","SR_B","CL_B","Mo_B","Cr_B","SIO2_L","MGO_L","CD_L","CO2_L","SO3_B","AS_L","CL_L","SIO2R_B","Th_B","ORDRE","OBS"
"14",14,"CMM1846","CM1846","GEOCHIMIE","C0P","G1","T1","","0","0","383496,5375","255260,0375","627,325","0,575","0,46","59,57","79,718","12,5235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,7825","0","0","0","0","0","0","0","12,65","0"
"16",16,"CMM992","CM1629","GEOCHIMIE","C1IA","G1","T2","","0","0","367192,056","256103,643","603,06","1,725","1,725","73,0595","103,109","5,1175","55,3035","10,718","0,2875","0,6095","4,1285","0","0","0","0,5865","20,7","119,6","4,6","129,95","354,2","0","0","1416,8","0","0","0","0","0,345","0","0","0","0","0","0","0","16,1","0"
"20",20,"CMM1845","CM1845","GEOCHIMIE","C1IA","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,9775","0,9775","73,83","87,446","5,2325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,276","0","0","0","0","0","0","0","16,1","0"
"22",22,"CMM1848","CM1848","GEOCHIMIE","C1IA","G1","T3","","0","0","369611,3225","263239,577","632,04","0,4025","0,4025","76,0265","81,6385","5,2325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,575","0","0","0","0","0","0","0","16,1","0"
"24",24,"CMM992","CM1629","GEOCHIMIE","C1IB","G1","T2","","0","0","367192,056","256103,643","603,06","1,265","1,265","65,481","79,557","5,635","49,128","18,446","0,322","0,7935","3,6915","0","0","0","0,6785","26,45","110,4","3,45","255,3","311,65","0","0","1194,85","0","0","0","0","0,299","0","0","0","0","0","0","0","17,25","0"
"25",25,"CMM993","CM1630","GEOCHIMIE","C1IB","G1","T1","","0","0","392232,2135","262957,5165","648,255","1,0925","1,0925","71,852","82,4435","5,7845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,25","0"
"26",26,"CMM995","CM1632","GEOCHIMIE","C1IB","G1","T2","","0","0","396823,4965","263700,9915","688,413","0,8625","0,8625","70,357","85,629","5,4625","60,4785","10,9365","0,1725","0,713","4,2895","0","0","0","0,6095","4,6","157,55","8,05","182,85","355,35","0","0","1147,7","0","0","0","0","0,506","0","0","0","0","0","0","0","17,25","0"
"27",27,"CMM1843","CM1843","GEOCHIMIE","C1IB","G1","T3","","0","0","378771,4635","263227,9505","657,823","1,265","1,265","63,112","80,362","7,59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,4485","0","0","0","0","0","0","0","17,25","0"
"28",28,"CMM1845","CM1845","GEOCHIMIE","C1IB","G1","T4","","0","0","367276,7995","259261,612","628,0955","1,265","1,265","60,8695","79,81","7,314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,483","0","0","0","0","0","0","0","17,25","0"
"29",29,"CMM1846","CM1846","GEOCHIMIE","C1IB","G1","T1","","0","0","383496,5375","255260,0375","627,325","0,805","0,805","66,2975","102,8675","7,935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,4605","0","0","0","0","0","0","0","17,25","0"
"30",30,"CMM1848","CM1848","GEOCHIMIE","C1IB","G1","T3","","0","0","369611,3225","263239,577","632,04","0,7475","0,7475","64,423","79,35","8,855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,529","0","0","0","0","0","0","0","17,25","0"
"31",31,"CMM989","CM1626","GEOCHIMIE","C1S","G1","T1","","0","0","352787,9495","263814,1515","640,1015","0,2875","0,2875","57,2815","69,713","12,374","39,2725","9,683","0,2645","1,1155","3,358","0","0","0","4,7725","8,05","111,55","9,2","125,35","244,95","0","0","875,15","0","0","0","0","0,805","0","0","0","0","0","0","0","13,8","0"
"33",33,"CMM993","CM1630","GEOCHIMIE","C1S","G1","T1","","0","0","392232,2135","262957,5165","648,255","0,2875","0,2875","68,5975","93,6905","4,5425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,8","0"
"35",35,"CMM1843","CM1843","GEOCHIMIE","C1S","G1","T3","","0","0","378771,4635","263227,9505","657,823","1,0925","1,0925","38,824","54,671","24,472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,8","0"
"36",36,"CMM1844","CM1844","GEOCHIMIE","C1S","G1","T2","","0","0","388739,33","262653,905","661,1925","0,46","0,1725","45,448","80,477","19,7225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,1155","0","0","0","0","0","0","0","13,8","0"
"40",40,"CMM989","CM1626","GEOCHIMIE","C2IA","G1","T1","","0","0","352787,9495","263814,1515","640,1015","0,69","0,69","58,167","84,6975","16,8935","49,2315","6,2445","0,3105","0,621","3,3465","0","0","0","0,621","14,95","110,4","10,35","192,05","290,95","0","0","128,8","0","0","0","0","0,3335","0","0","0","0","0","0","0","25,3","0"
"41",41,"CMM990","CM1627","GEOCHIMIE","C2IA","G1","T1","","0","0","369282,7215","258214,675","562,258","1,38","1,38","56,3155","86,158","16,0655","47,7135","4,646","0,3105","0,6785","3,3005","0","0","0","1,863","12,65","144,9","6,9","203,55","172,5","0","0","1390,35","0","0","0","0","0,874","0","0","0","0","0","0","0","25,3","0"
"42",42,"CMM993","CM1630","GEOCHIMIE","C2IA","G1","T1","","0","0","392232,2135","262957,5165","648,255","0,9775","0,9775","63,227","82,2825","13,478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25,3","0"
"43",43,"CMM995","CM1632","GEOCHIMIE","C2IA","G1","T2","","0","0","396823,4965","263700,9915","688,413","0,575","0,575","48,507","64,975","19,6075","55,936","6,141","0,4485","0,8855","2,967","0","0","0","5,6005","10,35","97,75","5,75","364,55","338,1","0","0","869,4","0","0","0","0","2,783","0","0","0","0","0","0","0","25,3","0"
"44",44,"CMM1843","CM1843","GEOCHIMIE","C2IA","G1","T3","","0","0","378771,4635","263227,9505","657,823","0,805","0,805","53,8775","84,5135","12,88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,0585","0","0","0","0","0","0","0","25,3","0"
"45",45,"CMM1844","CM1844","GEOCHIMIE","C2IA","G1","T2","","0","0","388739,33","262653,905","661,1925","0,92","0,92","73,0595","95,5075","9,66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,552","0","0","0","0","0","0","0","25,3","0"
"46",46,"CMM1845","CM1845","GEOCHIMIE","C2IA","G1","T4","","0","0","367276,7995","259261,612","628,0955","1,3225","1,3225","49,5305","77,1535","19,32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,714","0","0","0","0","0","0","0","25,3","0"
"48",48,"CMM1848","CM1848","GEOCHIMIE","C2IA","G1","T3","","0","0","369611,3225","263239,577","632,04","1,4375","1,4375","54,6365","76,36","13,57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,771","0","0","0","0","0","0","0","25,3","0"
"49",49,"CMM989","CM1626","GEOCHIMIE","C2IB","G1","T1","","0","0","352787,9495","263814,1515","640,1015","4,945","4,945","48,9325","80,2815","19,044","49,6915","5,9455","0,4945","0,713","2,967","0","0","0","0,667","16,1","113,85","6,9","294,4","301,3","0","0","1181,05","0","0","0","0","0,4715","0","0","0","0","0","0","0","26,45","0"
"50",50,"CMM990","CM1627","GEOCHIMIE","C2IB","G1","T1","","0","0","369282,7215","258214,675","562,258","3,565","3,565","30,429","54,9585","26,818","51,888","9,1195","0,6555","1,242","1,8285","0","0","0","1,6445","14,95","72,45","5,75","166,75","241,5","0","0","1060,3","0","0","0","0","0,8395","0","0","0","0","0","0","0","26,45","0"
"51",51,"CMM993","CM1630","GEOCHIMIE","C2IB","G1","T1","","0","0","392232,2135","262957,5165","648,255","5,635","5,635","58,811","90,367","16,1115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26,45","0"
"52",52,"CMM995","CM1632","GEOCHIMIE","C2IB","G1","T2","","0","0","396823,4965","263700,9915","688,413","0,9775","0,9775","64,9635","93,104","11,523","63,5145","3,5075","0,3335","0,6555","3,9445","0","0","0","1,334","67,85","169,05","8,05","343,85","317,4","0","0","1178,75","0","0","0","0","0,759","0","0","0","0","0","0","0","26,45","0"
"54",54,"CMM1844","CM1844","GEOCHIMIE","C2IB","G1","T2","","0","0","388739,33","262653,905","661,1925","4,8875","4,8875","64,4805","95,45","13,248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,759","0","0","0","0","0","0","0","26,45","0"
"55",55,"CMM1845","CM1845","GEOCHIMIE","C2IB","G1","T4","","0","0","367276,7995","259261,612","628,0955","6,1525","6,1525","39,468","75,2675","22,9425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,587","0","0","0","0","0","0","0","26,45","0"
"56",56,"CMM1846","CM1846","GEOCHIMIE","C2IB","G1","T1","","0","0","383496,5375","255260,0375","627,325","4,025","4,025","30,544","78,545","25,553","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9,223","0","0","0","0","0","0","0","26,45","0"
"57",57,"CMM1848","CM1848","GEOCHIMIE","C2IB","G1","T3","","0","0","369611,3225","263239,577","632,04","4,255","4,255","46,345","79,7295","18,8715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,8395","0","0","0","0","0","0","0","26,45","0"
"60",60,"CMM993","CM1630","GEOCHIMIE","C2S","G1","T1","","0","0","392232,2135","262957,5165","648,255","0,92","0,92","44,9305","62,4565","22,724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0"
"61",61,"CMM995","CM1632","GEOCHIMIE","C2S","G1","T2","","0","0","396823,4965","263700,9915","688,413","0,4025","0,4025","42,2625","70,84","19,6075","52,0835","4,048","0,69","1,403","2,576","0","0","0","5,1635","12,65","103,5","8,05","385,25","374,9","0","0","795,8","0","0","0","0","2,4265","0","0","0","0","0","0","0","23","0"
"62",62,"CMM1843","CM1843","GEOCHIMIE","C2S","G1","T3","","0","0","378771,4635","263227,9505","657,823","1,6675","1,6675","35,5235","48,806","23,322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9,8095","0","0","0","0","0","0","0","23","0"
"63",63,"CMM1844","CM1844","GEOCHIMIE","C2S","G1","T2","","0","0","388739,33","262653,905","661,1925","1,61","1,61","44,3325","63,3995","19,895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6,164","0","0","0","0","0","0","0","23","0"
"64",64,"CMM1845","CM1845","GEOCHIMIE","C2S","G1","T4","","0","0","367276,7995","259261,612","628,0955","2,3575","2,3575","31,211","49,059","22,609","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9,7635","0","0","0","0","0","0","0","23","0"
"66",66,"CMM1848","CM1848","GEOCHIMIE","C2S","G1","T3","","0","0","369611,3225","263239,577","632,04","1,265","1,265","38,3985","55,9705","22,08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,028","0","0","0","0","0","0","0","23","0"
"70",70,"CMM1843","CM1843","GEOCHIMIE","C3IA","G1","T3","","0","0","378771,4635","263227,9505","657,823","4,14","4,14","39,2955","74,083","13,6735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,8975","0","0","0","0","0","0","0","43,7","0"
"72",72,"CMM1845","CM1845","GEOCHIMIE","C3IA","G1","T4","","0","0","367276,7995","259261,612","628,0955","4,8875","4,8875","34,684","83,0415","16,2955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,277","0","0","0","0","0","0","0","43,7","0"
"74",74,"CMM1848","CM1848","GEOCHIMIE","C3IA","G1","T3","","0","0","369611,3225","263239,577","632,04","2,185","2,185","27,7265","75,5665","17,411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,8285","0","0","0","0","0","0","0","43,7","0"
"75",75,"CMM988","CM1625","GEOCHIMIE","C3IB1A","G1","T1","","0","0","354027,0055","267158,662","605,2795","1,0925","1,0925","28,5315","57,247","26,013","51,658","12,5465","0,621","1,725","1,7135","0","0","0","0,575","5,75","102,35","13,8","79,35","247,25","0","0","964,85","0","0","0","0","0,2645","0","0","0","0","0","0","0","44,85","0"
"76",76,"CMM991","CM1628","GEOCHIMIE","C3IB1A","G1","T1","","0","0","368496,386","252223,4855","519,57","0,805","0,805","31,9355","42,0325","32,5105","44,1485","18,009","1,081","1,8975","1,8285","0","0","0","2,0815","8,05","86,25","10,35","128,8","354,2","0","0","882,05","0","0","0","0","0,69","0","0","0","0","0","0","0","44,85","0"
"77",77,"CMM994","CM1631","GEOCHIMIE","C3IB1A","G1","T1","","0","0","397075,1395","259659,236","606,4065","1,495","1,495","47,3455","59,317","14,306","45,77","14,4785","1,104","2,1965","2,875","0","0","0","4,4275","21,85","140,3","8,05","103,5","395,6","0","0","928,05","0","0","0","0","2,6795","0","0","0","0","0","0","0","44,85","0"
"78",78,"CMM1843","CM1843","GEOCHIMIE","C3IB1A","G1","T3","","0","0","378771,4635","263227,9505","657,823","1,6675","1,6675","50,117","64,4345","17,549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,1735","0","0","0","0","0","0","0","44,85","0"
"79",79,"CMM1844","CM1844","GEOCHIMIE","C3IB1A","G1","T2","","0","0","388739,33","262653,905","661,1925","2,1275","2,1275","45,4595","84,0995","14,766","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,139","0","0","0","0","0","0","0","44,85","0"
"80",80,"CMM1845","CM1845","GEOCHIMIE","C3IB1A","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,7475","0,7475","34,546","67,5625","19,573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,771","0","0","0","0","0","0","0","44,85","0"
"81",81,"CMM1846","CM1846","GEOCHIMIE","C3IB1A","G1","T1","","0","0","383496,5375","255260,0375","627,325","1,38","1,38","37,95","86,94","16,859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,9095","0","0","0","0","0","0","0","44,85","0"
"83",83,"CMM988","CM1625","GEOCHIMIE","C3IB1B","G1","T1","","0","0","354027,0055","267158,662","605,2795","0,92","0,92","47,955","72,979","17,1235","46,4025","12,9145","0,966","1,426","2,691","0","0","0","0,5405","6,9","167,9","18,4","108,1","333,5","0","0","1141,95","0","0","0","0","0,322","0","0","0","0","0","0","0","46","0"
"85",85,"CMM994","CM1631","GEOCHIMIE","C3IB1B","G1","T1","","0","0","397075,1395","259659,236","606,4065","2,8175","2,8175","48,944","79,051","16,353","48,7255","12,1785","0,46","1,1385","3,0705","0","0","0","3,772","23","163,3","6,9","92","299","0","0","1012","0","0","0","0","2,208","0","0","0","0","0","0","0","46","0"
"86",86,"CMM1843","CM1843","GEOCHIMIE","C3IB1B","G1","T3","","0","0","378771,4635","263227,9505","657,823","4,025","4,025","29,0145","79,419","21,0565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,3355","0","0","0","0","0","0","0","46","0"
"90",90,"CMM1848","CM1848","GEOCHIMIE","C3IB1B","G1","T3","","0","0","369611,3225","263239,577","632,04","1,84","1,84","37,9615","82,4205","18,216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,094","0","0","0","0","0","0","0","46","0"
"91",91,"CMM988","CM1625","GEOCHIMIE","C3IB2","G1","T1","","0","0","354027,0055","267158,662","605,2795","0,69","0,69","45,8735","77,211","19,3085","54,1075","9,476","0,805","1,3225","2,7255","0","0","0","0,552","11,5","109,25","16,1","93,15","299","0","0","1140,8","0","0","0","0","0,276","0","0","0","0","0","0","0","48,3","0"
"92",92,"CMM991","CM1628","GEOCHIMIE","C3IB2","G1","T1","","0","0","368496,386","252223,4855","519,57","1,3225","1,3225","42,343","68,3905","20,2055","49,1165","11,431","0,437","1,3915","2,4035","0","0","0","2,5415","24,15","113,85","4,6","72,45","263,35","0","0","1066,05","0","0","0","0","1,334","0","0","0","0","0","0","0","48,3","0"
"93",93,"CMM994","CM1631","GEOCHIMIE","C3IB2","G1","T1","","0","0","397075,1395","259659,236","606,4065","2,53","2,53","40,2615","70,8745","16,836","42,2395","13,777","0,7475","1,5755","2,599","0","0","0","5,4625","19,55","131,1","8,05","184","347,3","0","0","937,25","0","0","0","0","4,6115","0","0","0","0","0","0","0","48,3","0"
"94",94,"CMM1843","CM1843","GEOCHIMIE","C3IB2","G1","T3","","0","0","378771,4635","263227,9505","657,823","0,5175","0,5175","42,573","89,401","19,7225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,841","0","0","0","0","0","0","0","48,3","0"
"95",95,"CMM1844","CM1844","GEOCHIMIE","C3IB2","G1","T2","","0","0","388739,33","262653,905","661,1925","1,035","1,035","59,6275","89,0905","18,0435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,4045","0","0","0","0","0","0","0","48,3","0"
"96",96,"CMM1845","CM1845","GEOCHIMIE","C3IB2","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,805","0,805","42,297","68,977","18,975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,7595","0","0","0","0","0","0","0","48,3","0"
"98",98,"CMM1848","CM1848","GEOCHIMIE","C3IB2","G1","T3","","0","0","369611,3225","263239,577","632,04","0,7475","0,7475","42,665","77,579","18,3655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,5185","0","0","0","0","0","0","0","48,3","0"
"99",99,"CMM989","CM1626","GEOCHIMIE","C3SA","G1","T1","","0","0","352787,9495","263814,1515","640,1015","1,3225","1,3225","27,761","60,0415","22,5975","26,496","11,9945","1,081","2,507","1,6675","1,725","0","0","1,702","11,5","81,65","12,65","81,65","277,15","0","0","997,05","0","0","0","0","0,8165","0","0","1,8055","0","0","0","0","33,35","0"
"100",100,"CMM991","CM1628","GEOCHIMIE","C3SA","G1","T1","","0","0","368496,386","252223,4855","519,57","5,6925","5,6925","70,012","96,5885","11,293","58,489","3,795","0,3335","0,6325","4,0365","0","0","0","0,6785","33,35","135,7","2,3","262,2","468,05","0","0","1463,95","0","0","0","0","0,368","0","0","0","0","0","0","0","33,35","0"
"101",101,"CMM993","CM1630","GEOCHIMIE","C3SA","G1","T1","","0","0","392232,2135","262957,5165","648,255","0,8625","0,8625","63,296","85,7325","11,776","0","0","0","0","0","3,0705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33,35","0"
"102",102,"CMM994","CM1631","GEOCHIMIE","C3SA","G1","T1","","0","0","397075,1395","259659,236","606,4065","0,8625","0,8625","67,091","89,217","8,418","58,052","6,371","0,598","1,955","3,841","0","0","0","2,783","6,9","236,9","5,75","150,65","305,9","0","0","1442,1","0","0","0","0","0,69","0","0","0","0","0","0","0","33,35","0"
"104",104,"CMM1844","CM1844","GEOCHIMIE","C3SA","G1","T2","","0","0","388739,33","262653,905","661,1925","0,575","0,575","60,214","84,6285","12,4775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,874","0","0","0","0","0","0","0","33,35","0"
"105",105,"CMM1845","CM1845","GEOCHIMIE","C3SA","G1","T4","","0","0","367276,7995","259261,612","628,0955","3,22","3,22","53,107","88,3085","16,882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,564","0","0","0","0","0","0","0","33,35","0"
"106",106,"CMM1846","CM1846","GEOCHIMIE","C3SA","G1","T1","","0","0","383496,5375","255260,0375","627,325","4,3125","4,0825","63,917","94,9325","11,4885","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,6675","0","0","0","0","0","0","0","33,35","0"
"107",107,"CMM1848","CM1848","GEOCHIMIE","C3SA","G1","T3","","0","0","369611,3225","263239,577","632,04","2,8175","2,8175","44,022","78,453","17,434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,357","0","0","0","0","0","0","0","33,35","0"
"110",110,"CMM1843","CM1843","GEOCHIMIE","C3SB1","G1","T3","","0","0","378771,4635","263227,9505","657,823","1,2075","1,2075","45,793","83,858","16,9625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,208","0","0","0","0","0","0","0","34,5","0"
"111",111,"CMM1845","CM1845","GEOCHIMIE","C3SB1","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,46","0,46","44,896","75,417","18,515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,0245","0","0","0","0","0","0","0","34,5","0"
"112",112,"CMM1846","CM1846","GEOCHIMIE","C3SB1","G1","T1","","0","0","383496,5375","255260,0375","627,325","0,6325","0,6325","56,626","94,599","12,88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,0585","0","0","0","0","0","0","0","34,5","0"
"113",113,"CMM1848","CM1848","GEOCHIMIE","C3SB1","G1","T3","","0","0","369611,3225","263239,577","632,04","0,69","0,69","41,952","62,0885","16,905","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,254","0","0","0","0","0","0","0","34,5","0"
"114",114,"CMM989","CM1626","GEOCHIMIE","C3SB2","G1","T1","","0","0","352787,9495","263814,1515","640,1015","0,575","0,575","42,619","73,163","17,411","26,4615","9,361","0,897","1,4835","2,576","4,002","0","0","1,3225","6,9","103,5","9,2","46","171,35","0","0","1214,4","0","0","0","0","0,667","0","0","2,576","0","0","0","0","35,65","0"
"116",116,"CMM994","CM1631","GEOCHIMIE","C3SB2","G1","T1","","0","0","397075,1395","259659,236","606,4065","0,6325","0,6325","53,3945","74,934","12,834","55,7175","9,545","0,966","2,415","3,059","0","0","0","4,393","14,95","158,7","9,2","108,1","325,45","0","0","1153,45","0","0","0","0","1,5065","0","0","0","0","0","0","0","35,65","0"
"120",120,"CMM1846","CM1846","GEOCHIMIE","C3SB2","G1","T1","","0","0","383496,5375","255260,0375","627,325","0,9775","0,9775","54,993","89,562","8,855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,209","0","0","0","0","0","0","0","35,65","0"
"122",122,"CMM1843","CM1843","GEOCHIMIE","NIA1","G1","T3","","0","0","378771,4635","263227,9505","657,823","0,69","0,69","21,183","85,353","20,93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,048","0","0","0","0","0","0","0","64,4","0"
"124",124,"CMM1845","CM1845","GEOCHIMIE","NIA1","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,345","0,345","21,689","69,529","20,125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,508","0","0","0","0","0","0","0","64,4","0"
